img_path,label,type
train_data/1.png,3,1
train_data/2.png,7,3
train_data/3.png,9,2
train_data/4.png,9,1
train_data/5.png,10,1
train_data/6.png,8,3
train_data/7.png,2,3
train_data/8.png,6,2
train_data/9.png,10,2
train_data/10.png,4,3
train_data/11.png,8,3
train_data/12.png,2,2
train_data/13.png,5,2
train_data/14.png,9,2
train_data/15.png,0,3
train_data/16.png,4,2
train_data/17.png,3,2
train_data/18.png,9,1
train_data/19.png,4,3
train_data/20.png,5,3
train_data/21.png,7,2
train_data/22.png,6,2
train_data/23.png,3,3
train_data/24.png,5,1
train_data/25.png,10,2
train_data/26.png,4,3
train_data/27.png,1,1
train_data/28.png,3,2
train_data/29.png,3,3
train_data/30.png,0,3
train_data/31.png,2,3
train_data/32.png,10,2
train_data/33.png,6,1
train_data/34.png,7,1
train_data/35.png,2,3
train_data/36.png,3,3
train_data/37.png,9,2
train_data/38.png,3,2
train_data/39.png,9,2
train_data/40.png,2,2
train_data/41.png,6,1
train_data/42.png,5,3
train_data/43.png,2,2
train_data/44.png,0,2
train_data/45.png,8,2
train_data/46.png,10,2
train_data/47.png,3,3
train_data/48.png,3,2
train_data/49.png,9,3
train_data/50.png,7,2
train_data/51.png,2,2
train_data/52.png,10,2
train_data/53.png,3,2
train_data/54.png,3,1
train_data/55.png,9,3
train_data/56.png,3,1
train_data/57.png,8,3
train_data/58.png,7,2
train_data/59.png,8,3
train_data/60.png,8,2
train_data/61.png,10,3
train_data/62.png,9,2
train_data/63.png,8,3
train_data/64.png,3,1
train_data/65.png,9,2
train_data/66.png,4,3
train_data/67.png,8,3
train_data/68.png,4,3
train_data/69.png,2,1
train_data/70.png,9,2
train_data/71.png,8,3
train_data/72.png,6,1
train_data/73.png,7,1
train_data/74.png,8,1
train_data/75.png,7,3
train_data/76.png,9,3
train_data/77.png,5,1
train_data/78.png,8,2
train_data/79.png,4,1
train_data/80.png,5,1
train_data/81.png,7,2
train_data/82.png,6,1
train_data/83.png,0,3
train_data/84.png,1,2
train_data/85.png,2,3
train_data/86.png,3,1
train_data/87.png,4,1
train_data/88.png,2,3
train_data/89.png,9,2
train_data/90.png,1,3
train_data/91.png,4,2
train_data/92.png,8,3
train_data/93.png,0,2
train_data/94.png,6,2
train_data/95.png,6,1
train_data/96.png,7,3
train_data/97.png,1,1
train_data/98.png,5,2
train_data/99.png,3,3
train_data/100.png,7,2
train_data/101.png,1,1
train_data/102.png,1,2
train_data/103.png,9,1
train_data/104.png,6,1
train_data/105.png,5,1
train_data/106.png,8,1
train_data/107.png,9,3
train_data/108.png,1,2
train_data/109.png,5,2
train_data/110.png,2,1
train_data/111.png,10,1
train_data/112.png,4,1
train_data/113.png,6,1
train_data/114.png,4,1
train_data/115.png,6,1
train_data/116.png,6,1
train_data/117.png,2,3
train_data/118.png,3,3
train_data/119.png,3,2
train_data/120.png,8,1
train_data/121.png,5,2
train_data/122.png,4,1
train_data/123.png,5,1
train_data/124.png,5,2
train_data/125.png,5,2
train_data/126.png,0,3
train_data/127.png,4,3
train_data/128.png,4,2
train_data/129.png,0,3
train_data/130.png,3,2
train_data/131.png,2,1
train_data/132.png,0,2
train_data/133.png,3,2
train_data/134.png,4,3
train_data/135.png,9,3
train_data/136.png,2,3
train_data/137.png,2,2
train_data/138.png,8,2
train_data/139.png,1,2
train_data/140.png,10,1
train_data/141.png,10,1
train_data/142.png,7,2
train_data/143.png,4,2
train_data/144.png,3,2
train_data/145.png,4,1
train_data/146.png,0,2
train_data/147.png,1,1
train_data/148.png,8,3
train_data/149.png,3,3
train_data/150.png,3,2
train_data/151.png,7,3
train_data/152.png,5,1
train_data/153.png,6,2
train_data/154.png,2,1
train_data/155.png,3,2
train_data/156.png,2,3
train_data/157.png,8,1
train_data/158.png,6,2
train_data/159.png,3,2
train_data/160.png,7,2
train_data/161.png,3,2
train_data/162.png,9,1
train_data/163.png,3,2
train_data/164.png,2,3
